Point géographique;Forme géographique;Idcar_200m;I_est_200;Idcar_1km;i_est_1km;Idcar_nat;Numéro de groupe;Population du carreau;Nombre de ménages d’un seul individu;Nombre de ménages de 5 individus ou plus;Nombre de ménages propriétaires;Nombre de ménages monoparentaux;Somme des niveaux de vie winsorisés des individus;Somme de la surface des logements du carreau;Nombre de ménages en logements collectifs;Nombre de ménages en maison;Nombre de logements construits avant 1945;Nombre de logements construits entre 1945 et 1970;Nombre de logements construits entre 1970 et 1990;Nombre de logements construits depuis 1990;Nombre de logements dont la date de construction est inconnue;Nombre de logements sociaux;Nombre d’individus de 0 à 3 ans;Nombre d’individus de 4 à 5 ans;Nombre d’individus de 6 à 10 ans;Nombre d’individus de 11 à 17 ans;Nombre d’individus de 18 à 24 ans;Nombre d’individus de 25 à 39 ans;Nombre d’individus de 40 à 54 ans;Nombre d’individus de 55 à 64 ans;Nombre d’individus de 65 à 79 ans;Nombre d’individus de 80 ans ou plus;Nombre d’individus d’âge inconnu;Nombre de ménages pauvres;Nombre de ménages;lcog_geo;Année;com_arm_code;Code Officiel Commune;Nom Officiel Commune / Arrondissement Municipal;Nom Officiel Commune;Nom Officiel EPCI;Code Officiel EPCI;Nom Officiel Département;Code Officiel Département;Nom Officiel Région;Code Officiel Région
48.79882415706442, 2.2725130316273945;"{""coordinates"": [[[2.271297968359856, 48.7978361034776], [2.271018775727795, 48.799623802128735], [2.27372814427689, 48.79981220395756], [2.274007240882409, 48.79802449749536], [2.271297968359856, 48.7978361034776]]], ""type"": ""Polygon""}";CRS3035RES200mN2883600E3754200;0;CRS3035RES1000mN2883000E3754000;0;CRS3035RES1000mN2883000E3754000;856303;390.0;58.0;14.0;137.0;12.0;15103193.2;14913.0;102.0;68.0;123.0;19.0;11.0;17.0;0.0;0.0;11.0;3.0;19.0;33.0;39.0;46.0;68.0;62.0;51.0;58.0;0.0;10.0;170.0;92023;2017;92023;92023;Clamart;Clamart;Métropole du Grand Paris;200054781;Hauts-de-Seine;92;Île-de-France;11
48.79590492856855, 2.2565371536331917;"{""coordinates"": [[[2.255322469923446, 48.79491670385585], [2.255042726623738, 48.79670435786774], [2.257751886715206, 48.79689314659706], [2.258031534012462, 48.79510548475893], [2.255322469923446, 48.79491670385585]]], ""type"": ""Polygon""}";CRS3035RES200mN2883400E3753000;1;CRS3035RES1000mN2883000E3753000;0;CRS3035RES1000mN2883000E3753000;856251;20.0;1.2;1.2;5.2;0.4;699742.9;695.6;0.0;6.0;3.2;0.4;1.6;0.8;0.0;0.0;0.4;0.0;2.4;2.8;2.4;1.2;5.2;2.8;2.0;0.8;0.0;0.8;6.0;92023;2017;92023;92023;Clamart;Clamart;Métropole du Grand Paris;200054781;Hauts-de-Seine;92;Île-de-France;11
48.790730672972686, 2.2600849585980836;"{""coordinates"": [[[2.258870323365541, 48.78974248554818], [2.25859075233434, 48.791530154234785], [2.261299643190373, 48.791718853712034], [2.261579118242068, 48.789931177204004], [2.258870323365541, 48.78974248554818]]], ""type"": ""Polygon""}";CRS3035RES200mN2882800E3753200;0;CRS3035RES1000mN2882000E3753000;0;CRS3035RES1000mN2882000E3753000;856246;300.5;47.0;7.0;61.0;14.0;8665316.7;9546.0;96.0;39.0;19.0;48.0;33.0;35.0;0.0;14.0;8.0;7.0;19.5;21.5;21.5;58.0;72.0;30.0;39.0;21.0;3.0;10.0;135.0;92023;2017;92023;92023;Clamart;Clamart;Métropole du Grand Paris;200054781;Hauts-de-Seine;92;Île-de-France;11
48.781879322385905, 2.2368274757424267;"{""coordinates"": [[[2.235613497730276, 48.780890885355866], [2.235333164948766, 48.78267849269229], [2.238041503088623, 48.782867752745574], [2.23832173994804, 48.78108013756676], [2.235613497730276, 48.780890885355866]]], ""type"": ""Polygon""}";CRS3035RES200mN2882000E3751400;0;CRS3035RES1000mN2882000E3751000;0;CRS3035RES1000mN2882000E3751000;856188;282.5;20.0;6.0;96.0;9.0;9609225.3;10427.0;17.0;93.0;33.0;37.0;24.0;16.0;0.0;0.0;4.0;1.0;9.0;25.5;29.0;37.0;67.0;53.0;40.0;17.0;0.0;2.0;110.0;92023;2017;92023;92023;Clamart;Clamart;Métropole du Grand Paris;200054781;Hauts-de-Seine;92;Île-de-France;11
47.338512545479006, 5.6986836504902945;"{""coordinates"": [[[5.69743759661565, 47.33756190438044], [5.697288794689391, 47.339358683498425], [5.699929750479287, 47.339463178353974], [5.700078461601825, 47.33766639506807], [5.69743759661565, 47.33756190438044]]], ""type"": ""Polygon""}";CRS3035RES200mN2701000E3995800;1;CRS3035RES1000mN2701000E3995000;1;CRS3035RES4000mN2700000E3992000;119593;4.5;0.4;0.1;1.3;0.2;92023.0;197.0;0.0;1.7;0.8;0.0;0.2;0.6;0.1;0.0;0.3;0.1;0.3;0.6;0.4;0.8;0.8;0.5;0.5;0.2;0.0;0.2;1.7;70075;2017;70075;70075;Bonboillon;Bonboillon;CC du Val Marnaysien;200041887;Haute-Saône;70;Bourgogne-Franche-Comté;27
48.78150067860804, 2.2314109329695033;"{""coordinates"": [[[2.230197069670085, 48.780512183668016], [2.229916545052198, 48.782299775311735], [2.23262484560121, 48.7824891668808], [2.232905274302207, 48.78070156738937], [2.230197069670085, 48.780512183668016]]], ""type"": ""Polygon""}";CRS3035RES200mN2882000E3751000;0;CRS3035RES1000mN2882000E3751000;0;CRS3035RES1000mN2882000E3751000;856194;540.0;90.0;22.0;0.0;50.0;8991257.9;14007.0;235.0;0.0;0.0;234.0;0.0;1.0;0.0;235.0;31.5;21.0;50.5;42.0;31.0;103.0;91.0;64.0;76.0;30.0;0.0;49.0;235.0;92023;2017;92023;92023;Clamart;Clamart;Métropole du Grand Paris;200054781;Hauts-de-Seine;92;Île-de-France;11
48.78640007736452, 2.2498095001253997;"{""coordinates"": [[[2.248595164861246, 48.78541177959583], [2.248315260833664, 48.787199421543264], [2.251023884736883, 48.78738836845467], [2.25130369281237, 48.78560071867664], [2.248595164861246, 48.78541177959583]]], ""type"": ""Polygon""}";CRS3035RES200mN2882400E3752400;0;CRS3035RES1000mN2882000E3752000;0;CRS3035RES1000mN2882000E3752000;856225;729.0;126.0;23.0;46.0;46.0;15226488.4;17590.0;320.0;0.0;0.0;199.0;41.0;80.0;0.0;197.0;44.0;24.5;50.0;65.5;46.0;186.0;133.0;86.0;63.0;30.0;1.0;58.0;320.0;92023;2017;92023;92023;Clamart;Clamart;Métropole du Grand Paris;200054781;Hauts-de-Seine;92;Île-de-France;11
48.77754660748458, 2.2265557513587324;"{""coordinates"": [[[2.225342073171109, 48.77655806019978], [2.225061407749683, 48.77834564072895], [2.227769478867978, 48.77853514810561], [2.228050048394724, 48.77674755972489], [2.225342073171109, 48.77655806019978]]], ""type"": ""Polygon""}";CRS3035RES200mN2881600E3750600;0;CRS3035RES1000mN2881000E3750000;0;CRS3035RES1000mN2881000E3750000;853185;169.5;18.0;4.0;54.0;9.0;5612173.7;5934.0;16.0;55.0;27.0;22.0;10.0;12.0;0.0;0.0;2.0;5.0;10.0;12.5;17.0;29.0;32.0;19.0;24.0;19.0;0.0;4.0;71.0;92023;2017;92023;92023;Clamart;Clamart;Métropole du Grand Paris;200054781;Hauts-de-Seine;92;Île-de-France;11
48.802022598941576, 2.2665357038673943;"{""coordinates"": [[[2.26532068472853, 48.80103448184385], [2.265041249235214, 48.8028221603058], [2.267750772395409, 48.80301070934835], [2.268030111850332, 48.801223023068594], [2.26532068472853, 48.80103448184385]]], ""type"": ""Polygon""}";CRS3035RES200mN2884000E3753800;0;CRS3035RES1000mN2884000E3753000;0;CRS3035RES1000mN2884000E3753000;859277;756.0;141.0;18.0;186.0;42.0;23716154.4;22160.0;346.0;15.0;94.0;39.0;52.0;176.0;0.0;40.0;38.0;25.0;40.0;52.0;60.0;200.0;156.0;69.0;50.0;65.0;1.0;35.0;361.0;92023;2017;92023;92023;Clamart;Clamart;Métropole du Grand Paris;200054781;Hauts-de-Seine;92;Île-de-France;11
48.789320243179944, 2.265782000185865;"{""coordinates"": [[[2.26456728552731, 48.78833211647749], [2.264287931856123, 48.79011980308629], [2.266996764201452, 48.79030836319431], [2.267276021896457, 48.788520668770126], [2.26456728552731, 48.78833211647749]]], ""type"": ""Polygon""}";CRS3035RES200mN2882600E3753600;0;CRS3035RES1000mN2882000E3753000;0;CRS3035RES1000mN2882000E3753000;856231;114.0;15.0;3.0;35.0;2.0;3598794.8;4075.0;9.0;37.0;19.0;13.0;9.0;5.0;0.0;0.0;2.0;1.0;6.0;16.0;11.0;8.0;31.0;12.0;19.0;8.0;0.0;3.0;46.0;9202392060;2017;92023;92023;Clamart;Clamart;Métropole du Grand Paris;200054781;Hauts-de-Seine;92;Île-de-France;11
