Point géographique;Forme géographique;Idcar_200m;I_est_200;Idcar_1km;i_est_1km;Idcar_nat;Numéro de groupe;Population du carreau;Nombre de ménages d’un seul individu;Nombre de ménages de 5 individus ou plus;Nombre de ménages propriétaires;Nombre de ménages monoparentaux;Somme des niveaux de vie winsorisés des individus;Somme de la surface des logements du carreau;Nombre de ménages en logements collectifs;Nombre de ménages en maison;Nombre de logements sociaux;Nombre de ménages pauvres;Nombre de ménages;lcog_geo;com_arm_code;Code Officiel Commune
48.75008323778886, 2.299266045112433;"{""coordinates"": [[[2.298051569279829, 48.749095464232816], [2.297773756788995, 48.750883281280146], [2.300480570208268, 48.75107100464565], [2.300758286892669, 48.7492831798262], [2.298051569279829, 48.749095464232816]]], ""type"": ""Polygon""}";CRS3035RES200mN2878000E3755600;0;CRS3035RES1000mN2878000E3755000;0;CRS3035RES200mN2878000E3755600;850867;622.0;81.0;35.0;28.0;49.0;13699915.1;19345.0;221.0;28.0;207.0;30.0;249.0;92002;92002;92002
48.751021013675704, 2.312800105122588;"{""coordinates"": [[[2.311585343286703, 48.75003338500565], [2.311308009853753, 48.75182124088713], [2.314014916226006, 48.752008635638745], [2.314292153839661, 48.750220771998364], [2.311585343286703, 48.75003338500565]]], ""type"": ""Polygon""}";CRS3035RES200mN2878000E3756600;0;CRS3035RES1000mN2878000E3756000;0;CRS3035RES200mN2878000E3756600;850915;75.0;1.0;4.0;20.0;2.0;2895632.5;2340.0;0.0;22.0;0.0;0.0;22.0;9200294034;92002;92002
48.76372338854116, 2.313566027822943;"{""coordinates"": [[[2.312350961501044, 48.76273576966379], [2.312073547509309, 48.764523617368056], [2.314781143444404, 48.76471100070862], [2.315058461554778, 48.762923145243064], [2.312350961501044, 48.76273576966379]]], ""type"": ""Polygon""}";CRS3035RES200mN2879400E3756800;0;CRS3035RES1000mN2879000E3756000;0;CRS3035RES1000mN2879000E3756000;850883;438.0;55.0;17.0;134.0;23.0;12903418.9;12060.0;119.0;54.0;0.0;8.0;173.0;9200294034;92002;92002
48.762222249161844, 2.291906239137745;"{""coordinates"": [[[2.290691630738432, 48.761234398419774], [2.290413449788502, 48.763022183938126], [2.293120896829716, 48.76321009320644], [2.293398981918887, 48.761422299905554], [2.290691630738432, 48.761234398419774]]], ""type"": ""Polygon""}";CRS3035RES200mN2879400E3755200;1;CRS3035RES1000mN2879000E3755000;0;CRS3035RES1000mN2879000E3755000;850791;12.0;3.3;0.7;4.0;0.0;431103.8;595.0;0.3;5.7;0.0;0.0;6.0;9200292019;92002;92002
48.74453203569677, 2.2973927565112016;"{""coordinates"": [[[2.296178443711087, 48.74354424140511], [2.295900611136499, 48.74533205752735], [2.298607118560342, 48.7455198232913], [2.298884855356548, 48.74373199939649], [2.296178443711087, 48.74354424140511]]], ""type"": ""Polygon""}";CRS3035RES200mN2877400E3755400;0;CRS3035RES1000mN2877000E3755000;0;CRS3035RES200mN2877400E3755400;848747;162.0;10.0;7.0;45.0;3.0;6146456.0;5532.0;7.0;47.0;0.0;4.0;54.0;92002;92002;92002
48.74970766739156, 2.2938525512991057;"{""coordinates"": [[[2.292638189880655, 48.748719835892935], [2.292360185784682, 48.75050763738804], [2.295066961979054, 48.75069549219404], [2.295344870273744, 48.74890768292149], [2.292638189880655, 48.748719835892935]]], ""type"": ""Polygon""}";CRS3035RES200mN2878000E3755200;0;CRS3035RES1000mN2878000E3755000;0;CRS3035RES200mN2878000E3755200;850857;307.5;39.0;9.0;99.0;10.0;12887975.7;12505.0;77.0;48.0;0.0;4.0;125.0;92002;92002;92002
48.758646665779686, 2.2924624546378825;"{""coordinates"": [[[2.291247916817601, 48.75765882053835], [2.29096978641371, 48.759446610619925], [2.293677041741911, 48.759634504323955], [2.293955076302046, 48.757846706461294], [2.291247916817601, 48.75765882053835]]], ""type"": ""Polygon""}";CRS3035RES200mN2879000E3755200;0;CRS3035RES1000mN2879000E3755000;0;CRS3035RES1000mN2879000E3755000;850792;56.0;3.0;3.0;15.0;1.0;2211768.7;1818.0;1.0;17.0;0.0;0.0;18.0;92002;92002;92002
48.75384657725594, 2.3014174319173186;"{""coordinates"": [[[2.300202828294289, 48.752858827183964], [2.299925061147484, 48.754646647441405], [2.302632084813332, 48.754834320626735], [2.302909756134145, 48.753046492598344], [2.300202828294289, 48.752858827183964]]], ""type"": ""Polygon""}";CRS3035RES200mN2878400E3755800;0;CRS3035RES1000mN2878000E3755000;0;CRS3035RES200mN2878400E3755800;850866;377.0;118.0;5.0;83.0;17.0;12939085.3;12982.0;202.0;13.0;0.0;20.0;215.0;92002;92002;92002
48.747257881381984, 2.3106479682394654;"{""coordinates"": [[[2.309433334209385, 48.74627022921329], [2.309155955358117, 48.748058081892125], [2.311862651527317, 48.748245526845615], [2.312139934578853, 48.746457666406684], [2.309433334209385, 48.74627022921329]]], ""type"": ""Polygon""}";CRS3035RES200mN2877600E3756400;0;CRS3035RES1000mN2877000E3756000;0;CRS3035RES200mN2877600E3756400;848857;161.5;9.0;8.0;51.0;4.0;5463042.9;5269.0;0.0;57.0;0.0;0.0;57.0;92002;92002;92002
48.73060467059242, 2.305025651202;"{""coordinates"": [[[2.303811506201561, 48.72961695616681], [2.303534066827351, 48.73140480609955], [2.30623984541761, 48.73159237831934], [2.306517189076185, 48.72980452062506], [2.303811506201561, 48.72961695616681]]], ""type"": ""Polygon""}";CRS3035RES200mN2875800E3755800;1;CRS3035RES1000mN2875000E3755000;1;CRS3035RES2000mN2874000E3754000;346395;3.0;0.2;0.1;0.7;0.1;77781.3;93.9;0.1;0.9;0.0;0.1;1.0;9200291377;92002;92002
48.7438695564031, 2.313909045734294;"{""coordinates"": [[[2.312694425127707, 48.74288193869096], [2.312417192444562, 48.74466980368859], [2.315123715590618, 48.744857167409], [2.315400852488448, 48.743069294655385], [2.312694425127707, 48.74288193869096]]], ""type"": ""Polygon""}";CRS3035RES200mN2877200E3756600;0;CRS3035RES1000mN2877000E3756000;0;CRS3035RES200mN2877200E3756600;848861;236.0;7.0;12.0;75.0;6.0;8504461.8;8454.0;0.0;77.0;0.0;1.0;77.0;9200291689;92002;92002
48.75403421369288, 2.304124416970737;"{""coordinates"": [[[2.302909756134145, 48.753046492598344], [2.302632084813332, 48.754834320626735], [2.305339127081171, 48.755021928084716], [2.305616702573415, 48.753234092288004], [2.302909756134145, 48.753046492598344]]], ""type"": ""Polygon""}";CRS3035RES200mN2878400E3756000;0;CRS3035RES1000mN2878000E3756000;0;CRS3035RES200mN2878400E3756000;850930;450.0;140.0;2.0;116.0;19.0;15678546.7;15517.2;258.0;5.0;0.0;21.0;263.0;92002;92002;92002
48.76692416569895, 2.307595802949553;"{""coordinates"": [[[2.306380780441303, 48.765936483354025], [2.306103124237491, 48.76772431097447], [2.308810874764553, 48.767911841336705], [2.309088435075148, 48.76612400594822], [2.306380780441303, 48.765936483354025]]], ""type"": ""Polygon""}";CRS3035RES200mN2879800E3756400;0;CRS3035RES1000mN2879000E3756000;0;CRS3035RES1000mN2879000E3756000;850870;107.5;10.0;3.0;40.0;3.0;5492121.6;7309.0;2.0;42.0;0.0;3.0;44.0;92002;92002;92002
48.73446538642885, 2.2825458149855153;"{""coordinates"": [[[2.281332021520282, 48.733477432103115], [2.281053740718991, 48.7352652129783], [2.283759657672361, 48.735453334067735], [2.284037842753145, 48.73366554540769], [2.281332021520282, 48.733477432103115]]], ""type"": ""Polygon""}";CRS3035RES200mN2876400E3754200;0;CRS3035RES1000mN2876000E3754000;0;CRS3035RES200mN2876400E3754200;848794;158.5;17.0;4.0;59.0;5.0;5465537.4;6343.0;3.0;59.0;0.0;3.0;62.0;9200291377;92002;92002
48.754507154748374, 2.284897605710744;"{""coordinates"": [[[2.283683310143851, 48.75351922809581], [2.283404942808092, 48.755306999387166], [2.286111950549901, 48.755495074708875], [2.286390222066627, 48.75370729562997], [2.283683310143851, 48.75351922809581]]], ""type"": ""Polygon""}";CRS3035RES200mN2878600E3754600;0;CRS3035RES1000mN2878000E3754000;0;CRS3035RES1000mN2878000E3754000;850810;150.0;12.0;9.0;48.0;1.0;6222160.8;6654.0;4.0;52.0;0.0;1.0;56.0;92002;92002;92002
48.75704671983477, 2.2954476453673798;"{""coordinates"": [[[2.294233085602562, 48.756058906317286], [2.293955076302046, 48.757846706461294], [2.296662254412364, 48.75803452665379], [2.296940167875042, 48.75624671873209], [2.294233085602562, 48.756058906317286]]], ""type"": ""Polygon""}";CRS3035RES200mN2878800E3755400;0;CRS3035RES1000mN2878000E3755000;0;CRS3035RES200mN2878800E3755400;850854;288.0;21.0;9.0;94.0;9.0;11379937.3;10016.0;26.0;83.0;0.0;4.0;109.0;92002;92002;92002
48.755634400259055, 2.3011397000674787;"{""coordinates"": [[[2.299925061147484, 48.754646647441405], [2.299647268764577, 48.756434465418344], [2.302354388264918, 48.75662214637532], [2.302632084813332, 48.754834320626735], [2.299925061147484, 48.754646647441405]]], ""type"": ""Polygon""}";CRS3035RES200mN2878600E3755800;0;CRS3035RES1000mN2878000E3755000;0;CRS3035RES200mN2878600E3755800;850847;142.0;38.0;5.0;52.0;4.0;6662597.5;6250.0;57.0;16.0;0.0;1.0;73.0;92002;92002;92002
48.73079220608575, 2.3077313912182933;"{""coordinates"": [[[2.306517189076185, 48.72980452062506], [2.30623984541761, 48.73159237831934], [2.308945642576439, 48.73177988484619], [2.309222890516812, 48.729992019393045], [2.306517189076185, 48.72980452062506]]], ""type"": ""Polygon""}";CRS3035RES200mN2875800E3756000;1;CRS3035RES1000mN2875000E3756000;1;CRS3035RES4000mN2872000E3756000;150008;1.0;0.2;0.1;0.2;0.1;21095.7;30.0;0.0;0.4;0.0;0.1;0.4;92002;92002;92002
48.74942050302864, 2.3157841499837244;"{""coordinates"": [[[2.31456936626948, 48.74843290608015], [2.314292153839661, 48.750220771998364], [2.316998982961911, 48.750408093268774], [2.317276099578368, 48.748620219595054], [2.31456936626948, 48.74843290608015]]], ""type"": ""Polygon""}";CRS3035RES200mN2877800E3756800;0;CRS3035RES1000mN2877000E3756000;0;CRS3035RES200mN2877800E3756800;848864;211.5;22.0;8.0;27.0;8.0;6821044.4;5801.0;85.0;0.0;0.0;7.0;85.0;9200294034;92002;92002
48.746695262437136, 2.3025281070471015;"{""coordinates"": [[[2.301313644585798, 48.7457075233426], [2.301035978350759, 48.74749535272529], [2.303742618763595, 48.74768299483124], [2.304020189206617, 48.74589515768052], [2.301313644585798, 48.7457075233426]]], ""type"": ""Polygon""}";CRS3035RES200mN2877600E3755800;0;CRS3035RES1000mN2877000E3755000;0;CRS3035RES200mN2877600E3755800;848762;430.5;59.0;23.0;90.0;11.0;13313599.2;12447.0;101.0;62.0;28.0;13.0;163.0;92002;92002;92002
